,TwittID,TextData,TweetCreatedAt,RetweetCount,TweetFavouriteCount,TweetSource,UserID,UserScreenName,UserName,UserCreatedAt,UserDescription,UserDescriptionLength,UserFollowersCount,UserFriendsCount,UserLocation,HttpCount,HashtagCount,MentionCount,TweetCount
0,1120298059207008256,@EsraOduncu8 Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılıyım evli dul bekar fark etmez yaşta ö… https://t.co/CkOWqWl6UK,2019-04-22 12:07:26,0,0,Twitter Web App,1119864633110794240,Murat41222943,Murat 05539026587,2019-04-21 07:25:09,Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul evli bekar fark etmez 05539026587,139,17,761,İstanbul Beylikdüzü ,1,0,1,207
1,1120298024251604995,@HeRiA300 @Erotik_Center Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılıyım evli dul bekar fark e… https://t.co/a16yIY7ZdA,2019-04-22 12:07:17,0,0,Twitter Web App,1119864633110794240,Murat41222943,Murat 05539026587,2019-04-21 07:25:09,Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul evli bekar fark etmez 05539026587,139,17,761,İstanbul Beylikdüzü ,1,0,2,207
2,1120297974238732288,@leylacafercift2 Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılıyım evli dul bekar fark etmez yaş… https://t.co/xYQa6HCW2M,2019-04-22 12:07:05,0,0,Twitter Web App,1119864633110794240,Murat41222943,Murat 05539026587,2019-04-21 07:25:09,Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul evli bekar fark etmez 05539026587,139,17,761,İstanbul Beylikdüzü ,1,0,1,207
3,1120297884019245058,@Bulutgney9 Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılıyım evli dul bekar fark etmez yaşta ön… https://t.co/JUUYY1sF5z,2019-04-22 12:06:44,0,1,Twitter Web App,1119864633110794240,Murat41222943,Murat 05539026587,2019-04-21 07:25:09,Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul evli bekar fark etmez 05539026587,139,17,761,İstanbul Beylikdüzü ,1,0,1,207
4,1120297793988567040,@turk_porno__ Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılıyım evli dul bekar fark etmez yaşta… https://t.co/ntx96BwTiu,2019-04-22 12:06:22,0,1,Twitter Web App,1119864633110794240,Murat41222943,Murat 05539026587,2019-04-21 07:25:09,Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul evli bekar fark etmez 05539026587,139,17,761,İstanbul Beylikdüzü ,1,0,1,207
5,1120297754566303749,Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılıyım evli dul bekar fark etmez yaşta önemli değil ç… https://t.co/IyGsWyvtsJ,2019-04-22 12:06:13,0,0,Twitter Web App,1119864633110794240,Murat41222943,Murat 05539026587,2019-04-21 07:25:09,Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul evli bekar fark etmez 05539026587,139,17,761,İstanbul Beylikdüzü ,1,0,0,207
6,1120297602837307393,@Bulutgney9 Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılıyım evli dul bekar fark etmez yaşta ön… https://t.co/qa13jcUlik,2019-04-22 12:05:37,0,0,Twitter Web App,1119864633110794240,Murat41222943,Murat 05539026587,2019-04-21 07:25:09,Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul evli bekar fark etmez 05539026587,139,17,761,İstanbul Beylikdüzü ,1,0,1,207
7,1120297530921824256,@EsraOduncu8 Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılıyım evli dul bekar fark etmez yaşta ö… https://t.co/oWgzKp2o3O,2019-04-22 12:05:20,0,1,Twitter Web App,1119864633110794240,Murat41222943,Murat 05539026587,2019-04-21 07:25:09,Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul evli bekar fark etmez 05539026587,139,17,761,İstanbul Beylikdüzü ,1,0,1,207
8,1120297332724109319,@EsraOduncu8 Slm İstanbul’dan Murat yaş 31 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul evli… https://t.co/ZnKdfUzJaZ,2019-04-22 12:04:32,0,0,Twitter Web App,1119864633110794240,Murat41222943,Murat 05539026587,2019-04-21 07:25:09,Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul evli bekar fark etmez 05539026587,139,17,761,İstanbul Beylikdüzü ,1,0,1,207
9,1120297285273948160,@elacenk06 Slm İstanbul’dan Murat yaş 31 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul evli be… https://t.co/3hImEScRW5,2019-04-22 12:04:21,0,0,Twitter Web App,1119864633110794240,Murat41222943,Murat 05539026587,2019-04-21 07:25:09,Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul evli bekar fark etmez 05539026587,139,17,761,İstanbul Beylikdüzü ,1,0,1,207
10,1120297229661741058,Slm İstanbul’dan Murat yaş 31 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul  evli bekar fark etmez 05539026587,2019-04-22 12:04:08,0,2,Twitter Web App,1119864633110794240,Murat41222943,Murat 05539026587,2019-04-21 07:25:09,Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul evli bekar fark etmez 05539026587,139,17,761,İstanbul Beylikdüzü ,0,0,0,207
11,1120295950961004544,@EsraOduncu8 Slm İstanbul’dan Murat yaş 31 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul evli… https://t.co/Xy0CysUrVW,2019-04-22 11:59:03,0,0,Twitter Web App,1119864633110794240,Murat41222943,Murat 05539026587,2019-04-21 07:25:09,Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul evli bekar fark etmez 05539026587,139,17,761,İstanbul Beylikdüzü ,1,0,1,207
12,1120295882639978496,@EsraOduncu8 Slm İstanbul’dan Murat yaş 31 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul evli… https://t.co/aFnSY6qKxa,2019-04-22 11:58:47,0,0,Twitter Web App,1119864633110794240,Murat41222943,Murat 05539026587,2019-04-21 07:25:09,Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul evli bekar fark etmez 05539026587,139,17,761,İstanbul Beylikdüzü ,1,0,1,207
13,1120295615810940928,@Oturkifsa Slm İstanbul’dan Murat yaş 31 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul evli be… https://t.co/Q60vGulmgO,2019-04-22 11:57:43,0,1,Twitter Web App,1119864633110794240,Murat41222943,Murat 05539026587,2019-04-21 07:25:09,Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul evli bekar fark etmez 05539026587,139,17,761,İstanbul Beylikdüzü ,1,0,1,207
14,1120295468850995202,@turkveporno Slm İstanbul’dan Murat yaş 31 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul evli… https://t.co/MwV3qpS1jm,2019-04-22 11:57:08,0,1,Twitter Web App,1119864633110794240,Murat41222943,Murat 05539026587,2019-04-21 07:25:09,Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul evli bekar fark etmez 05539026587,139,17,761,İstanbul Beylikdüzü ,1,0,1,207
15,1120295272981106688,@GamzeAy21200382 @NeslihanAyan14 Slm İstanbul’dan Murat yaş 31 oldukça bakımlı ve saygılı biriyim bayan sex arkadaş… https://t.co/1Wxn792guU,2019-04-22 11:56:21,0,1,Twitter Web App,1119864633110794240,Murat41222943,Murat 05539026587,2019-04-21 07:25:09,Slm İstanbul’dan Murat yaş 31 boy 1.70 oldukça bakımlı ve saygılı biriyim bayan sex arkadaşı arıyorum dul evli bekar fark etmez 05539026587,139,17,761,İstanbul Beylikdüzü ,1,0,2,207
